b.CVDB_ID, b.Series, b.Number, b.Volume, b.FileName, b.PageCount, b.FileSize, b.ID 
None, Grendel - Behold the Devil, 5, , Grendel - Behold the Devil 05 (2008) (The Scangstas-DCP).cbz, 25, 12.0924348831, 2003c568-df86-4ad6-a898-7150abb2c9e9
None, Grendel - Behold The Devil, 6, , Grendel - Behold The Devil 06 (of 8) (2008) (The Scangstas-DCP).cbz, 25, 12.3027830124, 83797605-e6ab-4f2f-9532-41d05080c10c
None, Grendel - Behold the Devil, 7, , Grendel - Behold the Devil 07 (2008) (The Scangstas-DCP).cbz, 20, 11.2875461578, fec54939-c050-4f1c-a55f-c793fecc393b
None, Grendel - Behold The Devil, 8, , Grendel - Behold The Devil 08 (of 8) (2008) (The Scangstas-DCP).cbz, 27, 12.2108755112, 2f1f0ed3-d668-4e63-bec7-0e901de49916
None, Grendel - Black, 1, , Grendel - Black, White & Red 01 (c2c) (1998) (The Scangstas-DCP).cbz, 49, 22.9688692093, 3a9c75f0-e94d-4683-b427-202acacd5431
None, Grendel - Black, 2, , Grendel - Black, White & Red 02 (c2c) (1998) (The Scangstas-DCP).cbz, 49, 20.5362462997, 8774b04a-ea2e-4cbe-815b-e8b6e3a938ca
None, Grendel - Black, 3, , Grendel - Black, White & Red 03 (c2c) (1998) (The Scangstas-DCP).cbz, 47, 25.2284660339, 5fcc6c2e-a62c-475f-a27e-42b7585c9494
None, Grendel - Devil by the Deed HC, , , Grendel - Devil by the Deed HC (2007) (Archangel-DCP).cbz, 47, 21.1609287262, 668c8806-515a-46b3-88f7-3b0feefbd36f
None, Grendel - God And The Devil, 1, , Grendel - God And The Devil 01 of 10 (2003) ctc (EvilTrash-DCP) (ads by starhome).cbz, 36, 20.3826599121, 836cd351-980e-43a3-a0ed-80d67c4bc1b7
None, Grendel Archives GN, , , Grendel Archives GN (2007) (The Scangstas-DCP).cbz, 106, 51.5749559402, c2460df8-54d8-4233-afcb-d59329be4aa4
None, The Grim Ghost, 0, , The Grim Ghost 00 (2010) (two covers) (Minutemen-TwiztiD-T).cbz, 16, 10.8508329391, 92b29954-8f26-4d4c-a518-aba58d4125f5
None, The Grim Ghost, 0, , The Grim Ghost 00 (2010) (2 covers) (Minutemen-TwizToons).cbz, 19, 11.7862710953, 7550feeb-4975-4eda-819e-0a9b98ea7ff2
None, GrimJack - The Manx Cat, , , GrimJack - The Manx Cat (2008) (ComicMix) (CBRed by Twit).cbz, 151, 122.110994339, a2ec9edf-ebe3-43c5-b8ff-d640a90cbd13
None, Grimm Fairy Tales, 20, , Grimm Fairy Tales 020 (2008) (c2c) (greengiant-DCP).cbz, 32, 13.2543478012, 847abd02-6233-40c0-9631-cb23ab6dbf9e
None, Grimm Fairy Tales, 20, , Grimm Fairy Tales 20 (2007) (Minutemen-DarthCoochie).cbz, 32, 25.4519138336, e3d779c3-8a19-4d71-a9a8-a5adf5326e42
None, Grimm Fairy Tales, 20, , Grimm Fairy Tales 020 (2007) (Minutemen-DarthCoochie).cbz, 32, 25.4526920319, d4a4b073-608a-4ca2-9524-e303a4ddd7f0
None, Grimm Fairy Tales, 21, , Grimm Fairy Tales 021 (2008) (c2c) (greengiant-DCP).cbz, 32, 14.4559669495, f3569aa4-7bf7-4371-9007-03d1fe6df2e0
None, Grimm Fairy Tales, 21, , Grimm Fairy Tales 21 (2008) (Minutemen-DarthCoochie).cbz, 32, 29.5383720398, 84fe2013-de47-41ba-b87d-87d936feae2c
None, Grimm Fairy Tales, 22, , Grimm Fairy Tales 022 (2008) (c2c) (greengiant-DCP).cbz, 32, 14.4716310501, bd698504-954a-4b55-983d-75ab86032687
None, Grimm Fairy Tales, 22, , Grimm Fairy Tales 22 (2008) (Minutemen-DarthCoochie).cbz, 33, 26.5095157623, 79a6dd7b-0438-4d6a-a00d-7694f3932dab
None, Grimm Fairy Tales, 23, , Grimm Fairy Tales 023 (2008) (c2c) (greengiant-DCP).cbz, 31, 13.8379230499, bcb7ca95-20f3-4a71-9eb7-ec265ebfeb44
None, Grimm Fairy Tales, 23, , Grimm Fairy Tales 023 (2008) (Minutemen-DarthCoochie).cbz, 31, 24.8808479309, 1929709c-189a-450d-884a-2ee8109a2913
None, Grimm Fairy Tales, 23, , Grimm Fairy Tales 23 (2008) (Minutemen-DarthCoochie).cbz, 31, 24.8816032410, b78405ad-e8ad-443b-952e-4e40a1dfc56d
None, Grimm Fairy Tales, 24, , Grimm Fairy Tales 024 (2008) (c2c) (greengiant-DCP).cbz, 30, 13.6724157333, c2900297-5631-4302-ba12-41f40e2d0563
None, Grimm Fairy Tales, 24, , Grimm Fairy Tales 24 (2008) (Minutemen-DarthCoochie).cbz, 27, 20.3583803177, 0cf2c38c-13cc-45a4-97a6-717541d1fabc
None, Grimm Fairy Tales, 25, , Grimm Fairy Tales 025 (2008) (c2c) (greengiant-DCP).cbz, 31, 13.6530895233, 0c990974-2b16-413f-8e3d-27cf1ea0087e
None, Grimm Fairy Tales, 25, , Grimm Fairy Tales 025 (2008) (2 covers) (Minutemen-DarthCoochie).cbz, 31, 25.1693897247, 97e7f102-f5fb-4c70-9fdd-9345c5a5ebe9
None, Grimm Fairy Tales, 26, , Grimm Fairy Tales 026 (2008) (c2c) (greengiant-DCP).cbz, 32, 14.8244075775, 39835dd7-9237-4c33-949c-034152c1f5fb
None, Grimm Fairy Tales, 27, , Grimm Fairy Tales 027 (2008) (c2c) (greengiant-DCP).cbz, 33, 14.2811861038, 00e99f31-0cc4-4a89-b8cc-3d74fafb99d9
